sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
26881173461,2020-04-24T08:29:00Z,74,17,21,36,79,50,0.08826695371367062
26866037995,2020-04-23T08:04:00Z,67,16,20,31,54,50,0.09327548806941431
26851657503,2020-04-22T07:33:00Z,68,14,21,33,22,52,0.10682819383259912
26836294427,2020-04-21T08:33:00Z,79,17,21,41,100,54,0.09384460141271443
26808124212,2020-04-19T08:42:30Z,72,17,21,34,76,55,0.10052356020942409
26794826201,2020-04-18T07:47:30Z,70,17,17,36,55,54,0.0935483870967742
26769811019,2020-04-16T08:55:30Z,81,19,17,45,93,51,0.08519793459552495
26756798395,2020-04-15T08:29:00Z,82,17,20,45,47,51,0.07287093942054433
26739035986,2020-04-14T07:41:30Z,78,16,21,41,35,51,0.07533539731682147
26710764437,2020-04-12T09:05:30Z,82,18,19,45,69,49,0.09497645211930926
26699223605,2020-04-11T09:02:30Z,79,20,18,41,72,47,0.08135942327497425
26680867912,2020-04-10T08:03:30Z,78,20,21,37,33,48,0.07728894173602854
26670675049,2020-04-09T08:38:00Z,78,18,22,38,66,49,0.10244988864142539
26639922081,2020-04-07T08:33:30Z,83,21,21,41,103,49,0.0863849765258216
26626964611,2020-04-06T08:11:00Z,69,15,22,32,7,50,0.07807486631016043
26616584141,2020-04-05T11:11:00Z,72,15,21,36,21,50,0.09523809523809523
26598748530,2020-04-04T09:15:00Z,79,16,22,41,80,51,0.09921414538310412
26586584936,2020-04-03T07:33:00Z,74,16,22,36,39,51,0.07963594994311718
26574935675,2020-04-02T10:14:00Z,79,17,22,40,92,50,0.08268482490272373
26560779493,2020-04-01T09:47:30Z,78,18,19,41,33,49,0.08649173955296405
26548894393,2020-03-31T09:27:30Z,78,17,21,40,64,49,0.09602954755309326
26534632802,2020-03-30T06:28:00Z,63,15,22,26,39,48,0.06166666666666667
26519030613,2020-03-29T09:31:00Z,78,16,22,40,28,48,0.1061061061061061
26485849998,2020-03-26T08:29:00Z,74,16,20,38,25,48,0.08396124865446716
26473798617,2020-03-25T08:29:00Z,74,15,21,38,7,48,0.07419354838709677
26460757588,2020-03-24T07:55:00Z,79,17,22,40,34,49,0.0819304152637486
26448323984,2020-03-23T07:56:30Z,77,19,16,42,73,47,0.08565531475748193
26423170738,2020-03-21T08:37:00Z,83,19,22,42,43,47,0.08042635658914729
26410635136,2020-03-20T08:03:30Z,75,16,22,37,50,47,0.08061224489795918
26380436415,2020-03-18T08:52:30Z,78,18,21,39,55,48,0.1335149863760218
26348981058,2020-03-16T07:21:00Z,80,16,23,41,74,49,0.08359133126934984
