Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-12-01,"1,530",0,0,0,"1,440",0,0,0,0
2019-12-02,"1,697",399,0.17,2,"1,440",0,0,0,0
2019-12-03,"1,966","3,745",1.59,12,"1,432",8,0,0,21
2019-12-04,"2,227","7,675",5.02,12,778,142,5,34,819
2019-12-05,"2,135","7,100",4.83,6,865,92,1,38,667
2019-12-06,"1,936","3,724",1.66,7,851,100,7,19,474
2019-12-07,"2,312","8,838",3.94,19,716,141,29,44,938
2019-12-08,"2,696","14,345",7.98,18,477,227,9,63,"1,372"
2019-12-09,"1,854","1,801",0.8,4,757,102,12,2,384
2019-12-10,"2,013","4,582",2.21,9,773,128,2,10,556
2019-12-11,"2,158","6,722",3.35,20,757,136,9,25,722
2019-12-12,"2,000","5,288",2.36,13,775,97,22,21,561
2019-12-13,"2,155","7,700",5.02,4,784,99,11,37,715
2019-12-14,"2,647","11,101",5.39,20,667,224,27,57,"1,346"
2019-12-15,"2,662","11,636",5.42,11,683,290,18,31,"1,388"
2019-12-16,"1,932","3,503",1.56,7,922,123,2,12,481
2019-12-17,"1,971","4,276",1.91,10,825,113,14,12,514
2019-12-18,"1,866","2,258",1.01,0,812,124,0,0,399
2019-12-19,"2,173","7,355",4.89,2,864,108,0,36,715
2019-12-20,"2,248","7,846",5.21,6,799,140,1,35,803
2019-12-21,"2,404","9,069",4.04,11,702,200,9,33,"1,022"
2019-12-22,"2,159","7,376",4.9,5,680,118,1,37,733
2019-12-23,"2,125","5,899",2.63,18,609,165,4,26,738
2019-12-24,"1,884","2,652",1.18,9,804,151,0,0,462
2019-12-25,"1,936","3,163",1.41,14,739,169,0,0,528
2019-12-26,"2,285","6,038",2.69,8,647,154,14,37,906
2019-12-27,"1,972","4,124",1.84,4,635,149,5,6,559
2019-12-28,"2,276","6,476",2.89,12,622,235,16,7,952
2019-12-29,"2,642","15,685",10.39,16,474,164,1,79,"1,310"
2019-12-30,"1,880","2,817",1.26,10,742,158,0,0,480
2019-12-31,"2,389","8,461",3.96,22,645,245,15,18,"1,040"Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-01-01,"2,652","13,735",7.83,15,675,219,3,63,"1,333"
2020-01-02,"2,656","13,546",7.61,15,766,157,23,67,"1,308"
2020-01-03,"2,160","6,113",2.72,12,713,201,6,5,785
2020-01-04,"2,208","6,073",2.71,9,576,203,9,16,840
2020-01-05,"2,331","8,580",5.49,7,796,183,2,33,942
2020-01-06,"1,978","4,442",1.98,11,838,123,10,16,535
2020-01-07,"1,958","3,609",1.61,8,813,144,3,6,538
2020-01-08,"1,928","2,161",0.96,0,884,137,0,0,463
2020-01-09,"2,228","8,727",5.82,11,779,107,0,42,784
2020-01-10,"2,361","8,681",4,10,689,225,9,32,"1,033"
2020-01-11,"2,440","7,845",3.5,8,536,242,15,29,"1,106"
2020-01-12,"1,983","2,656",1.18,3,"1,241",185,0,0,579
2020-01-13,"1,903","3,483",1.55,8,798,111,7,10,454
2020-01-14,"1,889","3,247",1.45,4,818,126,3,7,459
2020-01-15,"2,196","6,972",3.17,15,752,213,10,12,846
2020-01-16,"1,869","2,140",0.95,2,856,136,0,0,431
2020-01-17,"1,992","3,862",1.72,11,823,134,4,12,530
2020-01-18,"2,151","5,553",2.82,19,669,194,3,9,760
2020-01-19,"1,855","2,341",1.04,9,629,137,0,0,419
2020-01-20,"2,113","4,425",2.06,6,465,121,34,23,724
2020-01-21,"2,075","4,265",1.9,9,755,202,5,5,708
2020-01-22,"2,054","5,118",2.28,16,800,136,8,21,630
2020-01-23,"2,005","5,310",2.38,18,768,122,7,13,578
2020-01-24,"2,338","9,429",5.82,12,884,175,2,46,959
2020-01-25,"2,144","6,268",2.79,14,640,150,10,31,727
2020-01-26,"2,262","8,092",5.25,2,642,165,2,33,864
2020-01-27,"2,140","7,256",4.82,4,891,111,0,36,699
2020-01-28,"1,874","2,907",1.3,8,784,132,0,0,434
2020-01-29,"1,959","4,132",1.84,6,779,127,6,18,539
2020-01-30,"1,989","5,287",2.42,7,779,145,7,10,584
2020-01-31,"1,955","4,324",1.93,7,761,148,7,2,540Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-03-01,"2,365","8,371",5.34,11,718,196,2,35,987
2020-03-02,"2,105","5,224",2.33,4,731,166,5,18,676
2020-03-03,"1,994","3,459",1.54,8,792,137,10,5,519
2020-03-04,"1,871","3,365",1.5,4,843,88,8,14,396
2020-03-05,"1,890","3,850",1.72,14,844,74,10,18,402
2020-03-06,"1,939","4,089",1.82,9,789,106,2,24,484
2020-03-07,"2,450","11,193",6.62,27,692,146,17,49,"1,057"
2020-03-08,"2,193","7,178",4.77,9,760,134,1,37,748
2020-03-09,"2,046","4,376",1.95,4,806,134,4,22,596
2020-03-10,"2,027","4,781",2.22,8,791,140,5,14,581
2020-03-11,"2,282","9,453",4.21,18,724,127,21,49,881
2020-03-12,"2,020","5,143",2.29,21,765,124,3,22,575
2020-03-13,"1,996","4,327",1.93,9,755,139,10,10,556
2020-03-14,"2,166","7,297",3.25,4,698,148,6,36,773
2020-03-15,"2,470","10,641",6.83,15,714,144,4,59,"1,069"
