Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,Date
2019-12-31 12:13AM,2019-12-31 8:50AM,441,76,23,517,65,347,29,2019-12-30
2019-12-30 12:39AM,2019-12-30 9:39AM,505,35,4,540,N/A,N/A,N/A,2019-12-29
2019-12-28 10:01PM,2019-12-29 10:03AM,603,119,27,722,180,403,20,2019-12-28
2019-12-28 12:02AM,2019-12-28 9:22AM,532,28,4,560,N/A,N/A,N/A,2019-12-27
2019-12-26 11:24PM,2019-12-27 10:09AM,568,77,29,645,117,394,57,2019-12-26
2019-12-25 11:18PM,2019-12-26 9:06AM,530,58,35,588,135,326,69,2019-12-25
2019-12-24 11:59PM,2019-12-25 8:52AM,514,19,0,533,N/A,N/A,N/A,2019-12-24
2019-12-24 12:28AM,2019-12-24 8:33AM,428,57,24,485,92,289,47,2019-12-23
2019-12-22 10:09PM,2019-12-23 8:45AM,566,70,29,636,96,413,57,2019-12-22
2019-12-22 12:17AM,2019-12-22 10:21AM,539,65,46,604,68,381,90,2019-12-21
2019-12-21 1:03AM,2019-12-21 9:19AM,425,71,33,496,74,321,30,2019-12-20
2019-12-20 12:50AM,2019-12-20 8:35AM,411,54,23,465,79,251,81,2019-12-19
2019-12-19 1:16AM,2019-12-19 8:28AM,377,55,19,432,45,263,69,2019-12-18
2019-12-18 12:43AM,2019-12-18 9:07AM,441,63,31,504,96,300,45,2019-12-17
2019-12-17 1:00AM,2019-12-17 8:57AM,401,75,22,476,68,286,47,2019-12-16
2019-12-16 1:22AM,2019-12-16 7:44AM,349,32,5,381,N/A,N/A,N/A,2019-12-15
2019-12-15 2:55AM,2019-12-15 9:53AM,365,53,26,418,43,265,57,2019-12-14
2019-12-14 1:56AM,2019-12-14 9:41AM,414,51,24,465,87,266,61,2019-12-13
2019-12-12 11:43PM,2019-12-13 8:12AM,414,95,25,509,62,300,52,2019-12-12
2019-12-11 11:36PM,2019-12-12 8:21AM,453,72,25,525,70,294,89,2019-12-11
2019-12-10 11:49PM,2019-12-11 8:22AM,446,67,25,513,62,305,79,2019-12-10
2019-12-09 11:58PM,2019-12-10 8:47AM,505,24,3,529,N/A,N/A,N/A,2019-12-09
2019-12-08 11:37PM,2019-12-09 9:03AM,501,64,36,565,100,373,28,2019-12-08
2019-12-07 9:37PM,2019-12-08 8:41AM,516,148,30,664,91,419,6,2019-12-07
2019-12-07 1:00AM,2019-12-07 9:30AM,426,84,32,510,61,327,38,2019-12-06
2019-12-06 12:31AM,2019-12-06 8:14AM,408,55,23,463,57,329,22,2019-12-05
2019-12-05 12:58AM,2019-12-05 8:23AM,418,26,3,444,N/A,N/A,N/A,2019-12-04
2019-12-04 12:18AM,2019-12-04 8:19AM,428,53,30,481,53,316,59,2019-12-03
2020-01-31 12:06AM,2020-01-31 8:48AM,446,76,25,522,80,291,75,2020-01-30
2020-01-30 12:29AM,2020-01-30 8:49AM,407,92,23,499,58,329,20,2020-01-29
2020-01-29 12:28AM,2020-01-29 8:58AM,463,47,25,510,141,301,21,2020-01-28
2020-01-27 11:53PM,2020-01-28 8:37AM,452,72,28,524,89,324,39,2020-01-27
2020-01-27 1:44AM,2020-01-27 8:26AM,324,78,22,402,39,272,13,2020-01-26
2020-01-25 11:01PM,2020-01-26 8:59AM,494,104,33,598,76,333,85,2020-01-25
