Date,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
2020-04-28T08:30:30Z,79,17,22,40,56,53,0.11056751467710400
2020-04-27T08:49:00Z,79,16,21,42,81,55,0.10881801125703600
2020-04-26T09:05:00Z,52,15,10,27,28,53,0.12836970474967900
2020-04-25T09:14:00Z,61,16,17,28,66,51,0.09968186638388120
2020-04-24T08:29:00Z,74,17,21,36,79,50,0.08826695371367060
2020-04-23T08:04:00Z,67,16,20,31,54,50,0.09327548806941430
2020-04-22T07:33:00Z,68,14,21,33,22,52,0.10682819383259900
2020-04-21T08:33:00Z,79,17,21,41,100,54,0.09384460141271440
2020-04-19T08:42:30Z,72,17,21,34,76,55,0.10052356020942400
2020-04-18T07:47:30Z,70,17,17,36,55,54,0.0935483870967742
2020-04-16T08:55:30Z,81,19,17,45,93,51,0.08519793459552500
2020-04-15T08:29:00Z,82,17,20,45,47,51,0.07287093942054430
2020-04-14T07:41:30Z,78,16,21,41,35,51,0.07533539731682150
2020-04-12T09:05:30Z,82,18,19,45,69,49,0.09497645211930930
2020-04-11T09:02:30Z,79,20,18,41,72,47,0.08135942327497430
2020-04-10T08:03:30Z,78,20,21,37,33,48,0.07728894173602850
2020-04-09T08:38:00Z,78,18,22,38,66,49,0.10244988864142500
2020-04-07T08:33:30Z,83,21,21,41,103,49,0.0863849765258216
2020-04-06T08:11:00Z,69,15,22,32,7,50,0.07807486631016040
2020-04-05T11:11:00Z,72,15,21,36,21,50,0.09523809523809520
2020-04-04T09:15:00Z,79,16,22,41,80,51,0.09921414538310410
2020-04-03T07:33:00Z,74,16,22,36,39,51,0.07963594994311720
2020-04-02T10:14:00Z,79,17,22,40,92,50,0.08268482490272370
2020-04-01T09:47:30Z,78,18,19,41,33,49,0.08649173955296410
2020-03-31T09:27:30Z,78,17,21,40,64,49,0.09602954755309330
2020-03-30T06:28:00Z,63,15,22,26,39,48,0.06166666666666670
2020-03-29T09:31:00Z,78,16,22,40,28,48,0.1061061061061060
2020-03-26T08:29:00Z,74,16,20,38,25,48,0.08396124865446720
2020-03-25T08:29:00Z,74,15,21,38,7,48,0.07419354838709680
2020-03-24T07:55:00Z,79,17,22,40,34,49,0.0819304152637486
2020-03-23T07:56:30Z,77,19,16,42,73,47,0.08565531475748190
2020-03-21T08:37:00Z,83,19,22,42,43,47,0.08042635658914730
2020-03-20T08:03:30Z,75,16,22,37,50,47,0.08061224489795920
2020-03-18T08:52:30Z,78,18,21,39,55,48,0.1335149863760220
2020-03-16T07:21:00Z,80,16,23,41,74,49,0.08359133126934980
2020-03-15T09:20:00Z,78,16,21,41,58,49,0.0826044703595724
2020-03-14T09:15:00Z,83,20,22,41,42,49,0.08264462809917360
2020-03-13T08:18:30Z,73,14,21,38,35,50,0.09686609686609690
2020-03-12T08:17:30Z,77,18,20,39,49,49,0.0835707502374169
2020-03-11T08:15:30Z,78,17,21,40,55,49,0.08624031007751940
2020-03-10T08:18:30Z,83,20,22,41,93,49,0.09174311926605510
2020-03-09T08:00:30Z,82,17,22,43,18,50,0.0728051391862955
2020-03-08T09:31:00Z,79,18,19,42,96,49,0.09850483729111700
2020-03-07T09:14:00Z,82,20,22,40,94,49,0.0764872521246459
2020-03-06T08:07:00Z,80,17,22,41,42,49,0.08349514563106800
2020-03-05T08:07:30Z,86,21,23,42,68,50,0.056622851365015200
2020-03-04T08:05:30Z,75,16,22,37,42,50,0.07794871794871800
2020-03-03T08:13:00Z,73,19,20,34,60,50,0.09365558912386710
2020-03-02T08:08:30Z,81,17,23,41,36,50,0.07066795740561470
2020-02-28T08:07:30Z,78,16,22,40,64,48,0.08163265306122450
2020-02-27T07:39:30Z,75,17,21,37,49,48,0.0669500531349628
2020-02-26T07:18:30Z,81,20,22,39,53,49,0.06749156355455570
2020-02-25T07:05:00Z,79,20,23,36,35,49,0.05250596658711220
2020-02-24T07:53:30Z,80,21,21,38,59,49,0.05501618122977350
2020-02-23T07:33:30Z,77,16,23,38,38,50,0.0657439446366782
2020-02-20T08:10:30Z,68,14,18,36,24,48,0.06653225806451610
2020-02-19T08:15:30Z,71,18,21,32,16,49,0.0748768472906404
2020-02-18T08:12:00Z,83,20,22,41,58,50,0.07421503330161750
2020-02-17T08:07:00Z,80,17,23,40,54,50,0.060039370078740200
2020-02-15T09:18:30Z,75,20,17,38,69,50,0.0868421052631579
2020-02-14T08:09:00Z,70,16,22,32,42,50,0.0625
2020-02-13T08:29:30Z,73,21,19,33,50,49,0.08343125734430080
2020-02-12T08:11:30Z,74,16,22,36,47,49,0.08190091001011120
2020-02-11T08:17:00Z,85,21,22,42,65,48,0.07003891050583660
2020-02-10T08:07:00Z,75,19,21,35,47,48,0.06608478802992520
2020-02-09T10:15:00Z,75,17,20,38,49,48,0.08456843940714910
2020-02-07T08:51:30Z,79,16,23,40,31,48,0.07433102081268580
2020-02-06T08:53:30Z,77,18,21,38,32,48,0.08811475409836070
2020-02-05T08:41:30Z,70,15,21,34,25,48,0.10264550264550300
2020-02-04T08:46:00Z,81,16,24,41,60,50,0.06063522617901830
2020-02-03T08:51:30Z,77,17,21,39,78,50,0.07168141592920360
2020-02-02T09:19:00Z,73,16,19,38,60,49,0.0755873340143003
2020-02-01T09:34:00Z,79,18,19,42,82,48,0.07831900668576890
2020-01-31T08:48:00Z,79,18,21,40,74,48,0.0751953125
2020-01-30T08:49:00Z,66,15,22,29,20,48,0.06406406406406410
2020-01-29T08:58:30Z,84,19,23,42,21,50,0.059745347698335000
2020-01-28T08:37:30Z,80,18,22,40,39,51,0.08198284080076260
2020-01-27T08:26:30Z,61,13,23,25,13,52,0.06716417910447760
2020-01-26T08:59:00Z,82,17,22,43,84,52,0.08096468561584840
2020-01-25T10:13:30Z,85,20,20,45,95,51,0.07920792079207920
2020-01-23T08:30:30Z,77,17,20,40,45,52,0.06824644549763030
2020-01-22T08:24:30Z,78,19,22,37,37,51,0.07724867724867730
2020-01-21T06:47:00Z,78,19,21,38,22,51,0.0784729586426299
2020-01-20T10:05:30Z,78,17,20,41,28,51,0.14796238244514100
